Date,MMM,ADBE,GOOGL,AMAT,AMZN
2021-10-01 00:00:00-04:00,127.2177276611328,577.469970703125,136.54299926757812,126.35025024414062,164.16299438476562
2021-10-04 00:00:00-04:00,126.75689697265624,558.489990234375,133.6595001220703,122.50482940673828,159.48899841308594
2021-10-05 00:00:00-04:00,128.081787109375,566.7000122070312,136.0229949951172,125.31307983398438,161.0500030517578
2021-10-06 00:00:00-04:00,128.4562225341797,570.3099975585938,137.56500244140625,123.79642486572266,163.10049438476562
2021-10-07 00:00:00-04:00,128.02418518066406,578.9600219726562,139.22500610351562,125.12714385986328,165.1215057373047
2021-10-08 00:00:00-04:00,127.41216278076172,576.8599853515625,139.78550720214844,123.5028839111328,164.43099975585938
2021-10-11 00:00:00-04:00,126.92971801757812,573.0700073242188,138.91400146484375,124.75534057617188,162.31500244140625
2021-10-12 00:00:00-04:00,126.38966369628906,580.6900024414062,136.44900512695312,124.03126525878906,162.3665008544922
2021-10-13 00:00:00-04:00,127.57056427001952,591.1199951171875,137.58200073242188,125.4500503540039,164.21400451660156
2021-10-14 00:00:00-04:00,129.8386993408203,607.510009765625,141.1510009765625,129.22695922851562,164.9929962158203
2021-10-15 00:00:00-04:00,131.0051727294922,610.0900268554688,141.3679962158203,128.75729370117188,170.4510040283203
2021-10-18 00:00:00-04:00,130.84677124023438,622.8300170898438,142.7779998779297,130.410888671875,172.33700561523438
2021-10-19 00:00:00-04:00,131.27159118652344,636.0700073242188,143.23699951171875,131.70249938964844,172.20750427246094
2021-10-20 00:00:00-04:00,131.3507843017578,632.3699951171875,141.7689971923828,131.0958251953125,170.7530059814453
2021-10-21 00:00:00-04:00,131.13479614257812,638.6599731445312,141.88600158691406,130.4696044921875,171.75050354003906
2021-10-22 00:00:00-04:00,130.18429565429688,643.5800170898438,137.56649780273438,133.0038604736328,166.77749633789062
2021-10-25 00:00:00-04:00,131.33639526367188,646.969970703125,137.44700622558594,132.83749389648438,166.01849365234375
2021-10-26 00:00:00-04:00,131.16358947753906,642.5,139.30850219726562,129.15847778320312,168.80349731445312
2021-10-27 00:00:00-04:00,128.3410186767578,640.0800170898438,146.21749877929688,129.31500244140625,169.62449645996094
