Max Sharpe Ratio,Optimal Weights,Confidence Interval,MPI Wall Time,OMP Wall Time,OMP Threads,MPI Ranks
0.253595,0.104548 0.191391 0.250015 0.168315 0.0463017 0.23943,0.0134441,6.03494,0.00119926,2,2
0.380555,0.221079 0.15832 0.0399355 0.0590777 0.233762 0.287825,0.0125654,6.03494,0.00119926,2,2
0.39228,0.202925 0.191213 0.00232976 0.133199 0.247886 0.222447,0.0125995,6.03494,0.00119926,2,2
0.384522,0.159563 0.101053 0.216076 0.113619 0.178071 0.231619,0.013741,6.03494,0.00119926,2,2
0.393142,0.05321 0.160966 0.218922 0.146205 0.235872 0.184825,0.0152409,6.03494,0.00119926,2,2
0.424165,0.17444 0.127272 0.220957 0.23375 0.232383 0.0111984,0.0137273,6.03494,0.00119926,2,2
0.30152,0.186284 0.149549 0.171331 0.133852 0.090075 0.26891,0.0124695,6.03494,0.00119926,2,2
0.267805,0.0864703 0.161047 0.25206 0.226377 0.0125311 0.261515,0.0138699,6.03494,0.00119926,2,2
0.237289,0.304471 0.20908 0.0273111 0.226305 0.0519035 0.18093,0.00986641,6.03494,0.00119926,2,2
0.349995,0.190631 0.145589 0.212726 0.125796 0.16591 0.159348,0.0128226,6.03494,0.00119926,2,2
0.367162,0.187082 0.167593 0.139256 0.160727 0.186345 0.158997,0.0126616,6.03494,0.00119926,2,2
0.363543,0.058999 0.200844 0.211678 0.0680586 0.259533 0.200887,0.0151168,6.03494,0.00119926,2,2
0.414995,0.155183 0.0578035 0.0874788 0.0522298 0.206376 0.440929,0.0145031,6.03494,0.00119926,2,2
0.330817,0.0215347 0.179848 0.136797 0.344067 0.0538026 0.263951,0.0146113,6.03494,0.00119926,2,2
0.405104,0.134117 0.0697672 0.251434 0.134113 0.180352 0.230217,0.0144784,6.03494,0.00119926,2,2
0.354658,0.161274 0.143027 0.207142 0.10534 0.174277 0.20894,0.0133522,6.03494,0.00119926,2,2
0.488404,0.101286 0.0016639 0.20395 0.200296 0.236067 0.256737,0.0157378,6.03494,0.00119926,2,2
0.350164,0.126254 0.212485 0.109196 0.22843 0.169191 0.154444,0.0131531,6.03494,0.00119926,2,2
0.323708,0.120057 0.188315 0.298587 0.0933066 0.193765 0.10597,0.0141016,6.03494,0.00119926,2,2
0.212918,0.00789096 0.34815 0.162426 0.0340472 0.161917 0.285569,0.014493,6.03494,0.00119926,2,2
0.341714,0.0253303 0.0822 0.394672 0.0435982 0.145364 0.308836,0.0165574,6.03494,0.00119926,2,2
0.26119,0.0462756 0.351037 0.10957 0.069591 0.235483 0.188043,0.014226,6.03494,0.00119926,2,2
0.500652,0.187642 0.0182318 0.0193166 0.208567 0.226791 0.339452,0.0140445,6.03494,0.00119926,2,2
0.184254,0.10372 0.390908 0.0732343 0.166861 0.14809 0.117187,0.0126665,6.03494,0.00119926,2,2
0.290384,0.138122 0.284925 0.0985706 0.11488 0.20845 0.155053,0.0129008,6.03494,0.00119926,2,2
0.264735,0.156153 0.193398 0.273363 0.11999 0.0994507 0.157644,0.0128942,6.03494,0.00119926,2,2
0.297495,0.0196128 0.249298 0.144796 0.228155 0.112525 0.245612,0.0143643,6.03494,0.00119926,2,2
0.344383,0.36167 0.128767 0.071353 0.0867241 0.154965 0.196522,0.0100124,6.03494,0.00119926,2,2
0.44629,0.141508 0.108591 0.0874178 0.159202 0.248547 0.254735,0.0141227,6.03494,0.00119926,2,2
0.417523,0.187211 0.0963648 0.178295 0.0363127 0.262261 0.239556,0.0138993,6.03494,0.00119926,2,2
0.289904,0.186657 0.14029 0.266983 0.130924 0.0818644 0.193282,0.0126979,6.03494,0.00119926,2,2
0.285423,0.238278 0.223876 0.194643 0.159435 0.157932 0.0258375,0.0116398,6.03494,0.00119926,2,2
0.162074,0.137963 0.275591 0.278797 0.254525 0.00126322 0.0518604,0.0124396,6.03494,0.00119926,2,2
0.165615,0.255334 0.171177 0.276031 0.00575501 0.0275122 0.264192,0.0115319,6.03494,0.00119926,2,2
0.359112,0.00308194 0.160086 0.244847 0.141109 0.174339 0.276537,0.015767,6.03494,0.00119926,2,2
